Track Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Genre
I Can Change,0.644,0.73,1,-6.565,1,0.0287,0.00215,0.00178,0.233,0.695,116.981,E-Rock
DARE,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,E-Rock
Electric Feel,0.763,0.803,1,-3.713,1,0.0351,0.0709,0.285,0.348,0.561,103.04,E-Rock
Walking On A Dream,0.87,0.699,5,-5.541,0,0.0459,0.245,6.76E-06,0.0588,0.726,126.967,E-Rock
Pressure,0.622,0.842,11,-3.678,0,0.0609,0.00342,0.00014,0.0575,0.724,136.041,E-Rock
Caffeinated Consciousness,0.563,0.924,10,-3.909,0,0.0511,0.00529,0.883,0.145,0.618,94.057,E-Rock
Space Dunk,0.587,0.869,0,-5.903,0,0.0356,0.0153,0.000951,0.0939,0.423,119.939,E-Rock
As I Am,0.804,0.827,1,-7.336,1,0.0622,0.0202,0.708,0.0517,0.385,116.988,E-Rock
I'm Changing My Plan,0.525,0.495,9,-6.216,0,0.0476,0.347,0.456,0.18,0.278,120.174,E-Rock
Good Boy,0.48,0.915,11,-3.045,0,0.0587,0.000702,0.000151,0.418,0.355,158.069,E-Rock
No,0.683,0.878,8,-7.257,0,0.0424,0.327,0.0553,0.0955,0.721,116.007,E-Rock
Jezebel,0.673,0.706,9,-7.686,1,0.0324,0.185,0,0.128,0.624,111.966,E-Rock
Changing of The Season,0.604,0.86,7,-6.561,1,0.04,0.00679,0.339,0.0947,0.693,152.067,E-Rock
Embrace You,0.209,0.587,9,-8.462,0,0.042,0.0555,0.000876,0.176,0.0745,167.983,E-Rock
Serpentine,0.356,0.834,11,-7.574,0,0.0386,0.000213,0.669,0.646,0.646,170.12,E-Rock
All I Ever Do Now,0.663,0.6,3,-10.92,1,0.0383,0.25,0.00506,0.205,0.482,118.006,E-Rock
Tense,0.612,0.805,0,-7.736,1,0.0369,0.043,0.847,0.181,0.249,107.006,E-Rock
The World Is Going to End Tomorrow,0.463,0.834,2,-5.843,1,0.0716,0.000391,0.0043,0.371,0.725,86.208,E-Rock
Wrang,0.563,0.741,2,-8.364,0,0.0514,0.0663,0.209,0.127,0.251,91.997,E-Rock
You Are,0.75,0.5,5,-7.661,0,0.0271,0.106,0.00786,0.191,0.404,108.013,E-Rock
Malcontents,0.427,0.895,5,-7.292,0,0.0502,0.000942,0.419,0.555,0.378,135.981,E-Rock
I Like Kale,0.73,0.698,6,-7.418,0,0.0304,0.199,0.118,0.0891,0.771,122.021,E-Rock
Would?,0.491,0.914,10,-3.747,0,0.0376,0.000482,0.0417,0.111,0.165,98.986,E-Rock
Cannibals,0.418,0.745,10,-7.136,0,0.0521,0.372,0.501,0.602,0.603,105.966,E-Rock
Never Enough,0.573,0.755,0,-6.046,1,0.027,0.000365,0.174,0.296,0.473,100.013,E-Rock
Golden Bird & Sadies Sloth,0.685,0.472,4,-7.375,0,0.0718,0.656,0,0.191,0.722,179.878,E-Rock
Head Underwater,0.831,0.74,10,-8.345,1,0.0418,0.237,0.0749,0.0779,0.932,110.559,E-Rock
Big Push,0.56,0.853,2,-6.325,1,0.0423,0.000398,0.805,0.128,0.281,109.985,E-Rock
Never Win,0.801,0.544,8,-5.858,1,0.0363,0.000738,0.000363,0.0596,0.783,112.009,E-Rock
Cream On Chrome,0.79,0.692,7,-4.704,0,0.0532,0.0275,0.369,0.528,0.82,100.264,E-Rock
